symbol,event_time,log_ret_1,log_ret_5,log_ret_10,log_ret_21,log_ret_63,log_ret_126,log_ret_252,excess_log_ret_5,excess_log_ret_21,excess_log_ret_63,excess_log_ret_126,vol_20,vol_63,downside_vol_20,return_to_vol_21,return_to_vol_63,beta_63,corr_63,residual_log_ret_21,residual_log_ret_63,distance_to_63d_high,distance_to_63d_low,ma_20_50,ma_50_200,volume_z_20,dollar_volume_z_20,amihud_20,gap_pct,intraday_ret,benchmark_log_ret_21,benchmark_vol_20,expected_score
KO,2017-10-31 13:30:00+00:00,0.002612854999722636,-0.004340540818788874,-0.011676014447486338,0.02599810826689586,0.016443593852402127,0.07571328480357442,0.11438530110797807,-0.006460052756214196,0.007188596126015856,-0.026865180771196595,-0.009316962343807855,0.07066080651790176,0.07942783900466863,0.02038659726504973,0.36792826954655966,0.20702557262618718,0.14435998003509398,0.1263051099285461,0.023282767469768564,0.010191540012395032,-0.013728604542736833,0.03001774411848257,0.007314679914150357,0.04803600006096986,-0.7735435280285695,-0.7806673791847817,1.2038407697912454e-11,0.0013079123281189986,0.0013066501683063336,0.018809512140880003,0.050706497124856274,0.004038050201799243
PG,2017-11-07 14:30:00+00:00,0.010749486846862943,0.007384949200201163,0.0,-0.049948337732294235,-0.047774880792402996,0.020929419123551618,0.03564306536372008,0.0008002149088008892,-0.0687190139581837,-0.0986809091107066,-0.06512974808848426,0.16218557996107982,0.11963836421589898,0.15616408532322176,-0.30797027543558736,-0.3993274323459372,0.09720300767773177,0.05628622343546226,-0.051772903917595585,-0.052723099853869894,-0.07169769085988875,0.010807470157965682,-0.02164289883938708,0.024300137062697624,-0.20525761237951912,-0.11388125966620544,1.1601550879904543e-11,-0.00011643709791675505,0.010925179352060388,0.01877067622588946,0.046674699229343725,0.004038050201799243
AAPL,2017-11-15 14:30:00+00:00,-0.013278043134629769,-0.03788628264553617,0.01662566879631866,0.05585362824085349,0.07225206956581598,0.11045292637445403,0.4724689399336728,-0.027285880031924226,0.05215311118772403,0.013731199058756083,0.020541397945674333,0.2278842347921766,0.1736718683205479,0.12467101082642172,0.2450964995090173,0.4160263274905272,1.6594052101040404,0.5021929951911484,0.04971297096281162,-0.024857767853423085,-0.03717757571509106,0.12711943230358735,0.038517698315688964,0.07173622134549862,-0.13422693013955145,0.07522906799411275,2.1016691912499302e-12,-0.007995932686721052,-0.005236214527725935,0.0037005170531294596,0.053569941523000986,0.002175295636898711
CMCSA,2017-11-22 14:30:00+00:00,-0.0002745456108548261,-0.0209273082017134,0.005508069080538913,-0.0024686206417676715,-0.09336027909594913,-0.09425708804043564,0.06998080196164569,-0.03396140583272267,-0.015077964106493091,-0.1612046786389576,-0.17644080062704637,0.2185820889551324,0.23623672401865464,0.13486064792957667,-0.011293791973387155,-0.39519799253809856,0.9861165667969467,0.2167336943863729,-0.01490290312876622,-0.16026276544970097,-0.11192282801903897,0.03584632772532381,-0.015702605058335095,-0.03601644396353365,-0.896368150485344,-1.1163927073947784,1.4240738215139189e-11,-0.0008236942887723808,0.0005496390966996945,0.01260934346472542,0.05917965212979448,0.004038050201799243
JNJ,2017-11-30 14:30:00+00:00,-0.003438973996056305,0.020855005031462426,0.007757224789349593,0.005531197569416335,0.057349499958816,0.0811417262733185,0.2502670237340494,0.0012265954890624542,-0.024587043500283734,-0.0159893406162519,-0.010894920249702622,0.08980316521102727,0.13267762929103202,0.040428277481560866,0.06159245675159274,0.43224694521047174,0.6716300931264426,0.2809327013402025,-0.014697119485030972,0.008092927633597813,-0.023929523964558497,0.08274686630570516,0.013869972119691099,0.05608251297207989,3.4072379664927572,2.806830308330073,9.026574058625576e-12,0.0017882745909127973,-0.005212021562872704,0.03011824106970007,0.06513947302245086,0.002926046379189141
PEP,2017-12-07 14:30:00+00:00,-0.018419025155118618,0.0018008331494856478,0.021149866713755294,0.06203329376374267,0.021497345752627517,0.020678063363002153,0.154558061494515,0.005011423823128247,0.041710377659085474,-0.05259849663446481,-0.0708288180112282,0.1286850482142736,0.11886835759461697,0.09721386564311005,0.48205517754052496,0.18085002760735577,0.2565296873419981,0.11607018358508493,0.0568198624495373,0.0024895624717247537,-0.018250431607738204,0.07716108585444359,0.026963367437627728,-0.002935804145414056,1.632420247657713,1.3351565108052905,2.196018416153778e-11,-0.003195817664351841,-0.01510287999405402,0.020322916104657196,0.06857935701984771,0.004038050201799243
WMT,2017-12-14 14:30:00+00:00,-0.006465068411085184,0.0036103649476224575,0.00422759438741549,0.06945881624667605,0.19454138777893748,0.26689417435075136,0.3341155126990554,-0.0025547707844282286,0.03896613711746477,0.1304476623244315,0.1708762506738708,0.3874225894080956,0.25350820697085386,0.10163595918041554,0.17928437356426546,0.7673968038490531,1.353685382514039,0.2762909816089622,0.028181322235771834,0.10777864852030476,-0.019856261081728666,0.24957647492532442,0.06641889933595246,0.14404062481237978,-0.25976297128807657,-0.11746235848692195,6.9276582186807636e-12,0.0024551597517243895,-0.008877578698281652,0.030492679129211275,0.06519827243797505,0.0034517812328470994
CAT,2017-12-22 14:30:00+00:00,0.00715223936606435,0.05993043635945483,0.0794114958506782,0.120925750349552,0.23134000651660358,0.4145997837110089,0.5333562369409757,0.056320699378333394,0.08636923034541777,0.15432232357023512,0.30920476897110305,0.1905048975674781,0.17486374903380475,0.0909856113579448,0.6347645225588979,1.3229729306094244,1.2583062789004518,0.39492225597302466,0.07744306425140082,0.13442817247882388,0.0,0.2583647163995457,0.040876644400938966,0.2120116922599704,-0.8728729688279233,-0.8115571308167719,2.0989971859186805e-11,0.0008406063423191945,0.006331948698911738,0.03455652000413423,0.06589962264395215,0.004779630597867279
INTU,2018-01-02 14:30:00+00:00,0.005939727226709657,0.001387198861888983,-0.005842110231760955,0.009495517079597171,0.115880850821382,0.19208040098999302,0.3367844006157945,-0.003741398322698153,-0.010561190566724221,0.046896389964480534,0.07756574080972722,0.11750534592965381,0.14324478503308818,0.05474693233392108,0.08080923471585534,0.808970817294428,0.7651751157130108,0.30142696561903953,-0.005851376514498829,0.06309565800280276,-0.014956854801444597,0.12199123697962011,0.017275939896541637,0.11638004423698867,0.41629408082944075,0.5657713960058203,2.6125763205059238e-11,0.0027884337781192148,0.0031601567184929014,0.020056707646321392,0.05830072639590841,0.0030025721506590167
NVDA,2018-01-09 14:30:00+00:00,-0.00027059295986009424,0.10734500489562415,0.12802385902186497,0.14496359200712217,0.18063969767995958,0.35489500222943904,0.730853053702703,0.08647870626610588,0.1008299950576399,0.09741250839993065,0.21883980130324976,0.3373807478764629,0.32970852791446953,0.15373547528723738,0.4296735747950941,0.5478769348872279,2.421765069812179,0.42089488260741675,0.03808238850969668,-0.020917002177061106,-0.00027055635288697477,0.19207193890453955,-0.016675807346049454,0.24123939505599346,0.14158817925341602,0.5706436531095128,6.420451490041805e-12,0.0009906990341463917,-0.001260007099217142,0.04413359694948227,0.05816476192913002,0.002476837297001059
