date,active_symbols,covered_symbols,missing_symbols,coverage_ratio
2015-03-17,463,77,386,0.16630669546436286
2015-03-18,464,77,387,0.16594827586206898
2015-03-19,464,77,387,0.16594827586206898
2015-03-20,461,77,384,0.16702819956616052
2015-03-23,465,77,388,0.16559139784946236
2015-03-24,465,77,388,0.16559139784946236
2015-03-25,465,77,388,0.16559139784946236
2015-03-26,465,77,388,0.16559139784946236
2015-03-27,465,77,388,0.16559139784946236
2015-03-30,465,77,388,0.16559139784946236
2015-03-31,465,77,388,0.16559139784946236
2015-04-01,464,77,387,0.16594827586206898
2015-04-02,464,77,387,0.16594827586206898
2015-04-06,464,77,387,0.16594827586206898
2015-04-07,465,77,388,0.16559139784946236
2015-04-08,465,77,388,0.16559139784946236
2015-04-09,465,77,388,0.16559139784946236
2015-04-10,465,77,388,0.16559139784946236
2015-04-13,465,77,388,0.16559139784946236
2015-04-14,465,77,388,0.16559139784946236
2015-04-15,465,77,388,0.16559139784946236
2015-04-16,465,77,388,0.16559139784946236
2015-04-17,465,77,388,0.16559139784946236
2015-04-20,465,77,388,0.16559139784946236
2015-04-21,465,77,388,0.16559139784946236
2015-04-22,465,77,388,0.16559139784946236
2015-04-23,465,77,388,0.16559139784946236
2015-04-24,465,77,388,0.16559139784946236
2015-04-27,465,77,388,0.16559139784946236
2015-04-28,465,77,388,0.16559139784946236
2015-04-29,465,77,388,0.16559139784946236
2015-04-30,465,77,388,0.16559139784946236
2015-05-01,465,77,388,0.16559139784946236
2015-05-04,465,77,388,0.16559139784946236
2015-05-05,465,77,388,0.16559139784946236
2015-05-06,465,77,388,0.16559139784946236
2015-05-07,465,77,388,0.16559139784946236
2015-05-08,465,77,388,0.16559139784946236
2015-05-11,465,77,388,0.16559139784946236
2015-05-12,465,77,388,0.16559139784946236
2015-05-13,465,77,388,0.16559139784946236
2015-05-14,465,77,388,0.16559139784946236
2015-05-15,465,77,388,0.16559139784946236
2015-05-18,465,77,388,0.16559139784946236
2015-05-19,465,77,388,0.16559139784946236
2015-05-20,465,77,388,0.16559139784946236
2015-05-21,465,77,388,0.16559139784946236
2015-05-22,465,77,388,0.16559139784946236
2015-05-26,465,77,388,0.16559139784946236
2015-05-27,465,77,388,0.16559139784946236
2015-05-28,465,77,388,0.16559139784946236
2015-05-29,465,77,388,0.16559139784946236
2015-06-01,465,77,388,0.16559139784946236
2015-06-02,465,77,388,0.16559139784946236
2015-06-03,465,77,388,0.16559139784946236
2015-06-04,465,77,388,0.16559139784946236
2015-06-05,465,77,388,0.16559139784946236
2015-06-08,465,77,388,0.16559139784946236
2015-06-09,465,77,388,0.16559139784946236
2015-06-10,465,77,388,0.16559139784946236
2015-06-11,465,77,388,0.16559139784946236
2015-06-12,465,77,388,0.16559139784946236
2015-06-15,465,77,388,0.16559139784946236
2015-06-16,465,77,388,0.16559139784946236
2015-06-17,465,77,388,0.16559139784946236
2015-06-18,465,77,388,0.16559139784946236
2015-06-19,465,77,388,0.16559139784946236
2015-06-22,465,77,388,0.16559139784946236
2015-06-23,465,77,388,0.16559139784946236
2015-06-24,465,77,388,0.16559139784946236
2015-06-25,465,77,388,0.16559139784946236
2015-06-26,465,77,388,0.16559139784946236
2015-06-29,465,77,388,0.16559139784946236
2015-06-30,465,77,388,0.16559139784946236
2015-07-01,466,77,389,0.16523605150214593
2015-07-02,466,77,389,0.16523605150214593
2015-07-06,466,77,389,0.16523605150214593
2015-07-07,465,77,388,0.16559139784946236
2015-07-08,465,77,388,0.16559139784946236
2015-07-09,466,77,389,0.16523605150214593
2015-07-10,466,77,389,0.16523605150214593
2015-07-13,466,77,389,0.16523605150214593
2015-07-14,466,77,389,0.16523605150214593
2015-07-15,466,77,389,0.16523605150214593
2015-07-16,466,77,389,0.16523605150214593
2015-07-17,466,77,389,0.16523605150214593
2015-07-20,467,77,390,0.16488222698072805
2015-07-21,467,77,390,0.16488222698072805
2015-07-22,467,77,390,0.16488222698072805
2015-07-23,467,77,390,0.16488222698072805
2015-07-24,467,77,390,0.16488222698072805
2015-07-27,467,77,390,0.16488222698072805
2015-07-28,467,77,390,0.16488222698072805
2015-07-29,467,77,390,0.16488222698072805
