date,active_symbols,covered_symbols,missing_symbols,coverage_ratio
2016-04-28,506,77,429,0.15217391304347827
2016-04-29,506,77,429,0.15217391304347827
2016-05-02,506,77,429,0.15217391304347827
2016-05-03,506,77,429,0.15217391304347827
2016-05-04,506,77,429,0.15217391304347827
2016-05-05,506,77,429,0.15217391304347827
2016-05-06,506,77,429,0.15217391304347827
2016-05-09,506,77,429,0.15217391304347827
2016-05-10,506,77,429,0.15217391304347827
2016-05-11,506,77,429,0.15217391304347827
2016-05-12,506,77,429,0.15217391304347827
2016-05-13,506,77,429,0.15217391304347827
2016-05-16,506,77,429,0.15217391304347827
2016-05-17,506,77,429,0.15217391304347827
2016-05-18,507,77,430,0.15187376725838264
2016-05-19,506,77,429,0.15217391304347827
2016-05-20,506,77,429,0.15217391304347827
2016-05-23,507,77,430,0.15187376725838264
2016-05-24,506,77,429,0.15217391304347827
2016-05-25,506,77,429,0.15217391304347827
2016-05-26,506,77,429,0.15217391304347827
2016-05-27,506,77,429,0.15217391304347827
2016-05-31,507,77,430,0.15187376725838264
2016-06-01,505,77,428,0.15247524752475247
2016-06-02,505,77,428,0.15247524752475247
2016-06-03,506,77,429,0.15217391304347827
2016-06-06,505,77,428,0.15247524752475247
2016-06-07,505,77,428,0.15247524752475247
2016-06-08,505,77,428,0.15247524752475247
2016-06-09,505,77,428,0.15247524752475247
2016-06-10,505,77,428,0.15247524752475247
2016-06-13,505,77,428,0.15247524752475247
2016-06-14,505,77,428,0.15247524752475247
2016-06-15,505,77,428,0.15247524752475247
2016-06-16,505,77,428,0.15247524752475247
2016-06-17,505,77,428,0.15247524752475247
2016-06-20,505,77,428,0.15247524752475247
2016-06-21,505,77,428,0.15247524752475247
2016-06-22,504,77,427,0.1527777777777778
2016-06-23,504,77,427,0.1527777777777778
2016-06-24,505,77,428,0.15247524752475247
2016-06-27,505,77,428,0.15247524752475247
2016-06-28,505,77,428,0.15247524752475247
2016-06-29,505,77,428,0.15247524752475247
2016-06-30,505,77,428,0.15247524752475247
2016-07-01,507,77,430,0.15187376725838264
2016-07-05,505,77,428,0.15247524752475247
2016-07-06,505,77,428,0.15247524752475247
2016-07-07,505,77,428,0.15247524752475247
2016-07-08,505,77,428,0.15247524752475247
2016-07-11,505,77,428,0.15247524752475247
2016-07-12,505,77,428,0.15247524752475247
2016-07-13,505,77,428,0.15247524752475247
2016-07-14,505,77,428,0.15247524752475247
2016-07-15,505,77,428,0.15247524752475247
2016-07-18,505,77,428,0.15247524752475247
2016-07-19,505,77,428,0.15247524752475247
2016-07-20,505,77,428,0.15247524752475247
2016-07-21,505,77,428,0.15247524752475247
2016-07-22,505,77,428,0.15247524752475247
2016-07-25,505,77,428,0.15247524752475247
2016-07-26,505,77,428,0.15247524752475247
2016-07-27,505,77,428,0.15247524752475247
2016-07-28,505,77,428,0.15247524752475247
2016-07-29,505,77,428,0.15247524752475247
2016-08-01,505,77,428,0.15247524752475247
2016-08-02,505,77,428,0.15247524752475247
2016-08-03,505,77,428,0.15247524752475247
2016-08-04,505,77,428,0.15247524752475247
2016-08-05,505,77,428,0.15247524752475247
2016-08-08,505,77,428,0.15247524752475247
2016-08-09,505,77,428,0.15247524752475247
2016-08-10,505,77,428,0.15247524752475247
2016-08-11,505,77,428,0.15247524752475247
2016-08-12,505,77,428,0.15247524752475247
2016-08-15,505,77,428,0.15247524752475247
2016-08-16,505,77,428,0.15247524752475247
2016-08-17,505,77,428,0.15247524752475247
2016-08-18,505,77,428,0.15247524752475247
2016-08-19,505,77,428,0.15247524752475247
2016-08-22,505,77,428,0.15247524752475247
2016-08-23,505,77,428,0.15247524752475247
2016-08-24,505,77,428,0.15247524752475247
2016-08-25,505,77,428,0.15247524752475247
2016-08-26,505,77,428,0.15247524752475247
2016-08-29,505,77,428,0.15247524752475247
2016-08-30,505,77,428,0.15247524752475247
2016-08-31,505,77,428,0.15247524752475247
2016-09-01,505,77,428,0.15247524752475247
2016-09-02,505,77,428,0.15247524752475247
2016-09-06,506,77,429,0.15217391304347827
2016-09-07,506,77,429,0.15217391304347827
2016-09-08,506,77,429,0.15217391304347827
2016-09-09,506,77,429,0.15217391304347827
2016-09-12,506,77,429,0.15217391304347827
2016-09-13,506,77,429,0.15217391304347827
2016-09-14,506,77,429,0.15217391304347827
2016-09-15,506,77,429,0.15217391304347827
2016-09-16,506,77,429,0.15217391304347827
2016-09-19,506,77,429,0.15217391304347827
2016-09-20,506,77,429,0.15217391304347827
2016-09-21,506,77,429,0.15217391304347827
2016-09-22,506,77,429,0.15217391304347827
2016-09-23,507,77,430,0.15187376725838264
2016-09-26,506,77,429,0.15217391304347827
2016-09-27,506,77,429,0.15217391304347827
2016-09-28,506,77,429,0.15217391304347827
2016-09-29,506,77,429,0.15217391304347827
2016-09-30,506,77,429,0.15217391304347827
2016-10-03,507,77,430,0.15187376725838264
2016-10-04,506,77,429,0.15217391304347827
2016-10-05,506,77,429,0.15217391304347827
2016-10-06,506,77,429,0.15217391304347827
2016-10-07,506,77,429,0.15217391304347827
2016-10-10,506,77,429,0.15217391304347827
2016-10-11,506,77,429,0.15217391304347827
2016-10-12,506,77,429,0.15217391304347827
