variant,fold,candidate_universe,horizon_bars,sleeve_fraction,top_k,max_name_weight,rebalance_every,min_score_z,max_candidate_vol,max_benchmark_vol,high_vol_scale,max_benchmark_drawdown,drawdown_scale,test_start,test_end,total_return,benchmark_return,excess_return,sharpe,benchmark_sharpe,max_drawdown,benchmark_max_drawdown,turnover,total_cost,num_orders,num_alpha_symbols_traded,mean_selected_forward_excess,average_sleeve_scale,validation_rank_ic,validation_top_minus_universe,status,model_file
stocks_h126_s10_top3_reb63_z10,2020,stocks,126,0.1,3,0.04,63,1.0,0.0,0.0,1.0,0.0,1.0,2020-01-02T14:30:00+00:00,2020-12-31T14:30:00+00:00,0.1807581950196515,0.17285507945467926,0.007903115564972252,0.5218578983449681,0.5025211842894979,0.339929967930949,0.339929967930949,0.28003265272583905,5.600653054516782,17,8,0.18648461230549251,1.0,0.06153537319962744,0.1417155931725689,research_only_low_excess,reports/batches/2026-06-03_yahoo100_daily_ranker_walkforward_slow_horizons_2018_2026/fold_artifacts/stocks_h126_s10_top3_reb63_z10/2020/model.txt
stocks_h126_s10_top3_reb63_z10,2021,stocks,126,0.1,3,0.04,63,1.0,0.0,0.0,1.0,0.0,1.0,2021-01-04T14:30:00+00:00,2021-12-31T14:30:00+00:00,0.31244191143829236,0.3056474089753358,0.006794502462956542,2.3713754310034627,2.388455854633355,0.05167627126669927,0.05093772757051862,0.21831547048065958,4.366309409613191,10,5,-0.16715650506461302,1.0,0.16390517958443676,0.24223638121702118,research_only_low_excess,reports/batches/2026-06-03_yahoo100_daily_ranker_walkforward_slow_horizons_2018_2026/fold_artifacts/stocks_h126_s10_top3_reb63_z10/2021/model.txt
stocks_h126_s10_top3_reb63_z10,2022,stocks,126,0.1,3,0.04,63,1.0,0.0,0.0,1.0,0.0,1.0,2022-01-03T14:30:00+00:00,2022-12-30T14:30:00+00:00,-0.19329898573005921,-0.18673284519484412,-0.0065661405352150926,-0.7906303202014572,-0.7783604725523966,0.25468861564733103,0.24520729135681807,0.26801839081051443,5.360367816210289,18,8,-0.2881819571218753,1.0,0.0698197856756161,0.0438959078646015,rejected_under_benchmark,reports/batches/2026-06-03_yahoo100_daily_ranker_walkforward_slow_horizons_2018_2026/fold_artifacts/stocks_h126_s10_top3_reb63_z10/2022/model.txt
stocks_h126_s10_top3_reb63_z10,2023,stocks,126,0.1,3,0.04,63,1.0,0.0,0.0,1.0,0.0,1.0,2023-01-03T14:30:00+00:00,2023-12-29T14:30:00+00:00,0.2816400146874509,0.26811131496023655,0.013528699727214377,2.132331822603368,2.0866651414316753,0.10432727389082197,0.09964942715863256,0.217162466617613,4.34324933235226,10,5,0.11709696404171689,1.0,-0.0530362223151901,0.015109828935174657,research_only_low_excess,reports/batches/2026-06-03_yahoo100_daily_ranker_walkforward_slow_horizons_2018_2026/fold_artifacts/stocks_h126_s10_top3_reb63_z10/2023/model.txt
stocks_h126_s10_top3_reb63_z10,2024,stocks,126,0.1,3,0.04,63,1.0,0.0,0.0,1.0,0.0,1.0,2024-01-02T14:30:00+00:00,2024-12-31T14:30:00+00:00,0.2702999039824443,0.2577941551577565,0.012505748824687801,2.1565777845501843,2.0607682828998826,0.0812668562068607,0.08446361770731248,0.40426143079100324,8.085228615820064,18,8,0.07834632896883635,1.0,0.17554501515962936,0.106156243330448,research_only_low_excess,reports/batches/2026-06-03_yahoo100_daily_ranker_walkforward_slow_horizons_2018_2026/fold_artifacts/stocks_h126_s10_top3_reb63_z10/2024/model.txt
stocks_h126_s10_top3_reb63_z10,2025,stocks,126,0.1,3,0.04,63,1.0,0.0,0.0,1.0,0.0,1.0,2025-01-02T14:30:00+00:00,2025-12-31T14:30:00+00:00,0.1992954836968448,0.18119294806245856,0.01810253563438624,1.0604730302919039,0.9905910256209634,0.1870953858325628,0.1868940331170753,0.3435530525025832,6.871061050051664,17,8,0.1711233214046096,1.0,0.1616568979622797,0.07692215095722925,research_only_low_excess,reports/batches/2026-06-03_yahoo100_daily_ranker_walkforward_slow_horizons_2018_2026/fold_artifacts/stocks_h126_s10_top3_reb63_z10/2025/model.txt
stocks_h126_s10_top3_reb63_z10,2026,stocks,126,0.1,3,0.04,63,1.0,0.0,0.0,1.0,0.0,1.0,2026-01-02T14:30:00+00:00,2026-06-01T13:30:00+00:00,0.1274961886389978,0.11332340967682053,0.01417277896217728,2.5308535289366807,2.277587213450763,0.08900459567555807,0.08900459567555807,0.1014408620322257,2.028817240644514,4,3,0.0,1.0,0.13136905408536184,0.06494863246286792,research_only_low_excess,reports/batches/2026-06-03_yahoo100_daily_ranker_walkforward_slow_horizons_2018_2026/fold_artifacts/stocks_h126_s10_top3_reb63_z10/2026/model.txt
stocks_h126_s15_top3_reb63_z10,2018,stocks,126,0.15,3,0.05,63,1.0,0.0,0.0,1.0,0.0,1.0,2018-01-02T14:30:00+00:00,2018-12-31T14:30:00+00:00,-0.05333796008165703,-0.0519636993578424,-0.0013742607238146354,-0.3023374005947074,-0.3076769643039631,0.20954418426915622,0.19476757151899193,0.43334827722070346,8.666965544414069,16,7,-0.08147115202260817,1.0,0.1225772868351684,0.06915269404801956,rejected_under_benchmark,reports/batches/2026-06-03_yahoo100_daily_ranker_walkforward_slow_horizons_2018_2026/fold_artifacts/stocks_h126_s15_top3_reb63_z10/2018/model.txt
stocks_h126_s15_top3_reb63_z10,2019,stocks,126,0.15,3,0.05,63,1.0,0.0,0.0,1.0,0.0,1.0,2019-01-02T14:30:00+00:00,2019-12-31T14:30:00+00:00,0.3308545159885561,0.31262216009475696,0.018232355893799124,2.538443511395578,2.5223579810942045,0.07436641562038726,0.06639488918667835,0.5095859878620151,10.191719757240303,17,8,0.035397827081842734,1.0,-0.13298300717545333,-0.023673391107845124,research_only_low_excess,reports/batches/2026-06-03_yahoo100_daily_ranker_walkforward_slow_horizons_2018_2026/fold_artifacts/stocks_h126_s15_top3_reb63_z10/2019/model.txt
stocks_h126_s15_top3_reb63_z10,2020,stocks,126,0.15,3,0.05,63,1.0,0.0,0.0,1.0,0.0,1.0,2020-01-02T14:30:00+00:00,2020-12-31T14:30:00+00:00,0.18158244168781668,0.17285507945467926,0.008727362233137415,0.5228625452886443,0.5025211842894979,0.339929967930949,0.339929967930949,0.43487329636924965,8.697465927384993,17,8,0.18648461230549251,1.0,0.06153537319962744,0.1417155931725689,research_only_low_excess,reports/batches/2026-06-03_yahoo100_daily_ranker_walkforward_slow_horizons_2018_2026/fold_artifacts/stocks_h126_s15_top3_reb63_z10/2020/model.txt
stocks_h126_s15_top3_reb63_z10,2021,stocks,126,0.15,3,0.05,63,1.0,0.0,0.0,1.0,0.0,1.0,2021-01-04T14:30:00+00:00,2021-12-31T14:30:00+00:00,0.31710250287705977,0.3056474089753358,0.011455093901723945,2.361900357481703,2.388455854633355,0.050027391026942314,0.05093772757051862,0.4477446975051627,8.954893950103255,16,6,-0.16715650506461302,1.0,0.16390517958443676,0.24223638121702118,research_only_low_excess,reports/batches/2026-06-03_yahoo100_daily_ranker_walkforward_slow_horizons_2018_2026/fold_artifacts/stocks_h126_s15_top3_reb63_z10/2021/model.txt
stocks_h126_s15_top3_reb63_z10,2022,stocks,126,0.15,3,0.05,63,1.0,0.0,0.0,1.0,0.0,1.0,2022-01-03T14:30:00+00:00,2022-12-30T14:30:00+00:00,-0.19570972040226287,-0.18673284519484412,-0.008976875207418744,-0.7895627913026378,-0.7783604725523966,0.25950992868403355,0.24520729135681807,0.4119011026183191,8.23802205236638,18,8,-0.2881819571218753,1.0,0.0698197856756161,0.0438959078646015,rejected_under_benchmark,reports/batches/2026-06-03_yahoo100_daily_ranker_walkforward_slow_horizons_2018_2026/fold_artifacts/stocks_h126_s15_top3_reb63_z10/2022/model.txt
stocks_h126_s15_top3_reb63_z10,2023,stocks,126,0.15,3,0.05,63,1.0,0.0,0.0,1.0,0.0,1.0,2023-01-03T14:30:00+00:00,2023-12-29T14:30:00+00:00,0.2866648005053223,0.26811131496023655,0.018553485545085735,2.136465374347543,2.0866651414316753,0.10882418437183816,0.09964942715863256,0.38978556258290337,7.795711251658068,15,6,0.11709696404171689,1.0,-0.0530362223151901,0.015109828935174657,research_only_low_excess,reports/batches/2026-06-03_yahoo100_daily_ranker_walkforward_slow_horizons_2018_2026/fold_artifacts/stocks_h126_s15_top3_reb63_z10/2023/model.txt
stocks_h126_s15_top3_reb63_z10,2024,stocks,126,0.15,3,0.05,63,1.0,0.0,0.0,1.0,0.0,1.0,2024-01-02T14:30:00+00:00,2024-12-31T14:30:00+00:00,0.2740229842785642,0.2577941551577565,0.016228829120807697,2.1777594769339492,2.0607682828998826,0.07953163634270088,0.08446361770731248,0.6190816130120556,12.381632260241112,18,8,0.07834632896883635,1.0,0.17554501515962936,0.106156243330448,research_only_low_excess,reports/batches/2026-06-03_yahoo100_daily_ranker_walkforward_slow_horizons_2018_2026/fold_artifacts/stocks_h126_s15_top3_reb63_z10/2024/model.txt
stocks_h126_s15_top3_reb63_z10,2025,stocks,126,0.15,3,0.05,63,1.0,0.0,0.0,1.0,0.0,1.0,2025-01-02T14:30:00+00:00,2025-12-31T14:30:00+00:00,0.20605907775105536,0.18119294806245856,0.024866129688596805,1.0821009155852377,0.9905910256209634,0.18672900939960524,0.1868940331170753,0.507239642869799,10.14479285739598,17,8,0.1711233214046096,1.0,0.1616568979622797,0.07692215095722925,candidate,reports/batches/2026-06-03_yahoo100_daily_ranker_walkforward_slow_horizons_2018_2026/fold_artifacts/stocks_h126_s15_top3_reb63_z10/2025/model.txt
stocks_h126_s15_top3_reb63_z10,2026,stocks,126,0.15,3,0.05,63,1.0,0.0,0.0,1.0,0.0,1.0,2026-01-02T14:30:00+00:00,2026-06-01T13:30:00+00:00,0.13341485786989882,0.11332340967682053,0.020091448193078287,2.629576298488036,2.277587213450763,0.08900459567555807,0.08900459567555807,0.15627376042802327,3.1254752085604656,4,3,0.0,1.0,0.13136905408536184,0.06494863246286792,research_only_insufficient_breadth,reports/batches/2026-06-03_yahoo100_daily_ranker_walkforward_slow_horizons_2018_2026/fold_artifacts/stocks_h126_s15_top3_reb63_z10/2026/model.txt
